"","solution","distance","distance_from_optimum"
"1","38, 40, 34, 35, 49, 39, 36, 37, 5, 25, 12, 51, 11, 52, 14, 13, 27, 28, 26, 47, 46, 44, 16, 29, 50, 20, 30, 23, 22, 1, 32, 18, 31, 21, 42, 2, 7, 17, 3, 45, 19, 41, 8, 9, 10, 33, 43, 4, 15, 6, 24, 48",8497.09726943371,953.097269433709
"2","41, 19, 45, 43, 15, 38, 39, 40, 48, 5, 25, 26, 27, 28, 12, 51, 11, 52, 13, 14, 47, 29, 30, 42, 2, 7, 21, 17, 31, 23, 20, 50, 16, 44, 46, 34, 35, 1, 22, 32, 3, 18, 49, 36, 37, 24, 6, 4, 33, 10, 9, 8",9312.61651698987,1768.61651698987
"3","31, 17, 3, 18, 49, 34, 44, 16, 50, 23, 20, 1, 22, 35, 48, 24, 6, 4, 15, 5, 38, 40, 39, 36, 32, 19, 45, 41, 8, 9, 10, 43, 33, 51, 12, 11, 52, 14, 13, 27, 26, 47, 28, 25, 37, 46, 29, 30, 42, 2, 7, 21",9173.8568254705,1629.8568254705
"4","51, 11, 52, 14, 13, 27, 26, 28, 12, 4, 6, 15, 5, 25, 46, 24, 48, 38, 40, 37, 34, 44, 16, 47, 29, 30, 50, 20, 23, 21, 7, 2, 42, 17, 3, 18, 31, 32, 39, 36, 35, 49, 1, 22, 45, 19, 41, 8, 9, 10, 43, 33",8856.56187653436,1312.56187653436
"5","35, 1, 22, 21, 17, 2, 7, 42, 30, 29, 16, 46, 49, 32, 3, 45, 19, 18, 31, 23, 20, 50, 44, 34, 37, 38, 24, 48, 25, 12, 28, 27, 26, 47, 13, 14, 52, 11, 51, 33, 10, 9, 8, 41, 43, 4, 5, 15, 6, 40, 39, 36",9002.85515631347,1458.85515631347
"6","40, 39, 49, 32, 35, 34, 36, 44, 16, 20, 50, 23, 21, 42, 7, 2, 30, 29, 47, 13, 14, 52, 11, 51, 12, 28, 27, 26, 46, 25, 6, 4, 5, 15, 43, 33, 10, 9, 8, 41, 19, 45, 3, 17, 18, 22, 31, 1, 37, 48, 24, 38",8870.2197827278,1326.2197827278
"7","21, 32, 19, 10, 9, 8, 41, 45, 49, 36, 35, 34, 44, 46, 25, 26, 47, 14, 52, 13, 27, 28, 12, 11, 51, 33, 43, 4, 6, 15, 5, 24, 48, 37, 38, 40, 39, 16, 29, 50, 20, 30, 23, 1, 22, 31, 18, 3, 17, 2, 7, 42",8934.11357615229,1390.11357615229
"8","50, 16, 29, 30, 21, 2, 7, 42, 17, 3, 18, 31, 1, 22, 49, 32, 45, 19, 41, 8, 9, 10, 33, 43, 40, 38, 24, 5, 6, 15, 4, 12, 51, 11, 52, 13, 14, 47, 26, 27, 28, 25, 46, 44, 34, 35, 48, 37, 39, 36, 23, 20",8506.92980873754,962.929808737535
"9","8, 19, 45, 35, 36, 34, 39, 1, 22, 32, 49, 44, 16, 46, 25, 24, 48, 37, 40, 38, 5, 6, 15, 4, 33, 51, 12, 28, 11, 52, 14, 13, 27, 26, 47, 29, 50, 20, 23, 30, 42, 7, 2, 21, 31, 18, 17, 3, 41, 9, 10, 43",9075.05523107817,1531.05523107817
"10","30, 23, 31, 22, 16, 20, 50, 1, 35, 34, 39, 37, 40, 48, 46, 44, 29, 47, 26, 27, 28, 13, 14, 52, 11, 51, 12, 25, 4, 6, 15, 5, 24, 38, 36, 49, 32, 45, 19, 43, 33, 10, 9, 8, 41, 3, 18, 17, 21, 7, 2, 42",9076.3917101513,1532.3917101513
