"","solution","distance","distance_from_optimum"
"1","39, 1, 42, 48, 47, 52, 34, 40, 15, 37, 7, 31, 23, 49, 24, 12, 27, 13, 28, 29, 41, 17, 25, 18, 9, 16, 32, 50, 43, 22, 46, 2, 14, 5, 20, 30, 35, 19, 44, 33, 45, 26, 36, 3, 38, 6, 10, 8, 11, 51, 4, 21",26707.9193503297,19163.9193503297
"2","47, 13, 12, 15, 3, 25, 10, 45, 38, 34, 35, 49, 29, 8, 14, 27, 28, 43, 18, 41, 40, 22, 51, 30, 37, 5, 44, 24, 48, 7, 23, 9, 46, 6, 19, 33, 36, 31, 21, 20, 26, 52, 4, 2, 42, 16, 1, 32, 50, 17, 39, 11",24917.7257674436,17373.7257674436
"3","40, 21, 13, 37, 3, 2, 6, 38, 41, 8, 1, 30, 15, 52, 39, 5, 46, 24, 17, 7, 36, 42, 28, 9, 10, 35, 47, 27, 26, 16, 29, 50, 31, 11, 48, 44, 34, 14, 18, 4, 43, 19, 23, 20, 22, 25, 51, 33, 45, 32, 49, 12",26508.4135073061,18964.4135073061
"4","10, 23, 26, 50, 29, 51, 16, 40, 36, 12, 46, 44, 8, 32, 37, 14, 45, 13, 47, 27, 28, 30, 24, 35, 3, 2, 43, 33, 15, 38, 9, 17, 21, 6, 5, 39, 49, 48, 18, 22, 42, 7, 34, 25, 1, 52, 11, 4, 19, 41, 20, 31",24680.9064117704,17136.9064117704
"5","10, 23, 36, 24, 4, 48, 47, 39, 15, 19, 43, 9, 33, 41, 37, 21, 38, 52, 42, 30, 34, 51, 14, 25, 12, 31, 50, 16, 1, 3, 20, 29, 27, 11, 32, 8, 18, 22, 7, 35, 44, 49, 6, 28, 45, 2, 46, 17, 5, 40, 26, 13",26473.7384092119,18929.7384092119
"6","37, 38, 35, 20, 44, 28, 16, 13, 31, 41, 8, 39, 12, 26, 47, 52, 11, 29, 30, 9, 5, 34, 48, 36, 22, 23, 6, 24, 49, 14, 27, 42, 51, 7, 4, 3, 19, 25, 15, 32, 21, 2, 17, 50, 46, 33, 10, 43, 40, 45, 18, 1",23857.0292462273,16313.0292462273
"7","39, 38, 26, 20, 21, 19, 1, 34, 2, 42, 43, 22, 16, 50, 12, 30, 36, 13, 15, 10, 9, 7, 45, 32, 35, 5, 17, 3, 46, 28, 11, 33, 41, 52, 49, 6, 27, 25, 24, 29, 18, 48, 23, 8, 40, 37, 14, 47, 44, 31, 4, 51",26372.1389697769,18828.1389697769
"8","40, 2, 34, 38, 30, 28, 37, 25, 49, 45, 22, 12, 24, 50, 52, 36, 3, 15, 46, 29, 1, 32, 10, 9, 41, 6, 4, 18, 27, 26, 7, 31, 35, 47, 42, 13, 14, 17, 23, 44, 48, 19, 21, 8, 43, 33, 51, 16, 39, 20, 5, 11",26989.7583962136,19445.7583962136
"9","7, 21, 43, 18, 30, 29, 2, 50, 25, 49, 22, 23, 41, 4, 11, 42, 40, 46, 20, 10, 31, 15, 44, 35, 36, 19, 38, 17, 47, 37, 12, 9, 51, 8, 28, 6, 48, 32, 1, 26, 13, 33, 5, 14, 52, 27, 45, 16, 24, 34, 39, 3",26543.4624928787,18999.4624928787
"10","29, 40, 5, 35, 49, 50, 46, 36, 48, 4, 21, 24, 19, 8, 10, 33, 42, 7, 17, 2, 34, 9, 26, 16, 23, 25, 45, 31, 37, 6, 30, 1, 20, 22, 41, 43, 15, 51, 39, 32, 27, 12, 14, 44, 52, 18, 11, 13, 28, 47, 38, 3",24697.6586848452,17153.6586848452
"11","14, 52, 26, 47, 44, 6, 48, 5, 37, 38, 46, 1, 31, 22, 36, 25, 27, 51, 15, 24, 16, 3, 41, 45, 19, 40, 12, 28, 39, 49, 32, 21, 23, 35, 34, 29, 50, 20, 30, 42, 2, 7, 17, 18, 8, 9, 10, 4, 43, 33, 11, 13",13713.2887009896,6169.28870098957
"12","2, 42, 21, 3, 45, 10, 8, 43, 9, 41, 32, 36, 48, 40, 25, 15, 24, 5, 4, 47, 52, 33, 51, 11, 27, 14, 13, 26, 37, 6, 20, 23, 22, 18, 19, 35, 44, 46, 28, 12, 38, 39, 34, 17, 31, 30, 7, 1, 49, 50, 16, 29",14989.7262212589,7445.7262212589
"13","50, 23, 8, 45, 33, 43, 40, 36, 24, 25, 15, 6, 5, 46, 49, 32, 39, 29, 30, 2, 18, 31, 21, 42, 7, 22, 34, 35, 10, 9, 41, 19, 17, 3, 1, 44, 16, 48, 4, 38, 51, 11, 13, 14, 27, 52, 47, 26, 28, 12, 37, 20",13544.7089032032,6000.70890320315
"14","34, 24, 46, 4, 33, 25, 12, 52, 47, 26, 13, 14, 27, 11, 51, 28, 23, 30, 42, 2, 31, 32, 8, 41, 37, 36, 10, 9, 19, 45, 17, 7, 21, 22, 20, 50, 39, 44, 1, 3, 18, 29, 16, 40, 38, 48, 35, 49, 43, 6, 5, 15",14168.3059501689,6624.30595016894
"15","25, 4, 15, 5, 40, 38, 43, 46, 27, 51, 12, 28, 23, 31, 1, 39, 37, 50, 24, 6, 48, 34, 44, 16, 26, 13, 52, 14, 47, 29, 17, 49, 45, 8, 41, 21, 42, 2, 7, 30, 20, 18, 32, 19, 3, 22, 35, 36, 10, 9, 33, 11",14033.6270162372,6489.62701623718
"16","18, 20, 30, 16, 46, 48, 49, 32, 17, 42, 3, 22, 1, 34, 39, 15, 5, 24, 4, 25, 28, 44, 23, 52, 14, 13, 11, 51, 12, 6, 37, 40, 41, 10, 8, 45, 43, 38, 36, 35, 19, 9, 33, 47, 27, 26, 29, 50, 7, 2, 21, 31",14538.1512782303,6994.15127823033
"17","39, 40, 44, 24, 48, 38, 32, 22, 21, 18, 17, 2, 42, 7, 31, 3, 41, 8, 46, 25, 15, 4, 6, 43, 51, 11, 27, 26, 12, 28, 13, 47, 14, 52, 33, 10, 5, 23, 29, 16, 50, 20, 30, 1, 9, 19, 45, 49, 35, 34, 36, 37",12934.4983400725,5390.49834007248
"18","1, 46, 16, 47, 44, 20, 22, 21, 50, 36, 34, 35, 30, 7, 2, 29, 38, 19, 41, 3, 10, 9, 33, 43, 8, 17, 42, 31, 49, 24, 48, 37, 40, 12, 28, 52, 13, 27, 14, 11, 51, 26, 25, 6, 4, 15, 5, 39, 32, 45, 18, 23",14573.1028551762,7029.10285517617
"19","36, 44, 15, 34, 23, 21, 2, 42, 7, 32, 31, 22, 4, 5, 49, 25, 33, 9, 8, 19, 24, 38, 48, 39, 18, 17, 3, 1, 45, 10, 41, 43, 40, 37, 35, 6, 12, 28, 27, 52, 14, 11, 51, 26, 47, 13, 46, 20, 50, 29, 30, 16",14077.26515512,6533.26515512002
"20","33, 43, 1, 21, 18, 20, 35, 44, 17, 7, 42, 2, 30, 23, 50, 29, 16, 37, 39, 48, 19, 15, 36, 40, 6, 5, 24, 4, 38, 25, 28, 14, 27, 26, 12, 11, 52, 13, 51, 45, 3, 22, 32, 49, 9, 10, 8, 41, 31, 34, 46, 47",14433.3117799437,6889.3117799437
"21","21, 23, 31, 30, 29, 16, 37, 48, 25, 46, 38, 22, 34, 49, 39, 35, 36, 43, 33, 10, 9, 19, 41, 8, 45, 40, 47, 27, 13, 52, 14, 26, 28, 51, 11, 12, 4, 15, 5, 6, 24, 44, 20, 50, 42, 7, 2, 3, 32, 1, 18, 17",11452.521598221,3908.52159822096
"22","20, 50, 29, 16, 32, 49, 31, 22, 1, 23, 35, 34, 44, 37, 39, 36, 40, 43, 12, 13, 52, 14, 26, 47, 27, 11, 28, 51, 33, 25, 6, 4, 46, 38, 5, 48, 24, 15, 45, 19, 10, 9, 8, 41, 18, 3, 17, 21, 2, 7, 42, 30",10707.9411109921,3163.94111099209
"23","22, 1, 23, 20, 29, 50, 30, 42, 7, 2, 21, 18, 31, 37, 48, 38, 43, 5, 6, 25, 11, 51, 28, 26, 47, 14, 52, 13, 27, 12, 4, 33, 8, 9, 10, 45, 32, 36, 35, 44, 16, 46, 24, 39, 15, 40, 34, 49, 17, 3, 19, 41",11015.5836270999,3471.58362709986
"24","42, 3, 17, 19, 18, 39, 37, 46, 15, 48, 24, 40, 38, 45, 9, 10, 8, 41, 43, 12, 26, 47, 27, 28, 13, 14, 52, 11, 51, 33, 5, 4, 6, 25, 34, 35, 1, 49, 32, 22, 31, 36, 44, 50, 16, 23, 21, 20, 29, 30, 2, 7",11115.7678104891,3571.76781048907
"25","40, 48, 15, 51, 11, 12, 28, 16, 50, 20, 23, 42, 7, 2, 30, 18, 21, 17, 29, 47, 26, 52, 14, 13, 27, 25, 6, 46, 24, 37, 44, 39, 36, 32, 34, 35, 22, 31, 3, 1, 49, 19, 9, 10, 8, 45, 41, 43, 33, 4, 5, 38",11754.2305461931,4210.23054619306
"26","13, 52, 14, 47, 26, 28, 51, 11, 33, 43, 10, 9, 8, 19, 3, 45, 36, 35, 32, 49, 41, 38, 37, 46, 23, 30, 20, 1, 18, 17, 7, 2, 42, 21, 31, 22, 39, 15, 4, 25, 48, 40, 6, 24, 34, 5, 44, 16, 50, 29, 12, 27",11150.1982700985,3606.19827009854
"27","19, 45, 39, 38, 36, 34, 5, 40, 1, 32, 22, 44, 16, 46, 4, 48, 15, 28, 26, 13, 52, 11, 14, 47, 27, 51, 12, 37, 35, 31, 17, 2, 7, 42, 21, 3, 18, 41, 10, 8, 33, 9, 43, 6, 25, 24, 49, 29, 50, 23, 30, 20",12772.6465062048,5228.64650620484
"28","51, 12, 26, 27, 28, 46, 34, 40, 49, 44, 16, 23, 20, 30, 50, 22, 31, 21, 2, 7, 42, 17, 3, 18, 9, 10, 8, 19, 41, 45, 43, 33, 11, 13, 52, 14, 47, 29, 24, 25, 15, 37, 36, 1, 32, 39, 35, 38, 5, 6, 48, 4",11153.9774573078,3609.97745730777
"29","48, 5, 40, 37, 45, 19, 17, 3, 18, 22, 50, 32, 49, 35, 36, 34, 39, 38, 24, 1, 29, 30, 2, 42, 7, 21, 31, 20, 23, 16, 44, 41, 8, 10, 9, 43, 33, 4, 12, 51, 28, 27, 47, 14, 52, 11, 13, 26, 46, 25, 6, 15",11049.8866074958,3505.88660749579
"30","16, 29, 28, 27, 13, 52, 14, 47, 26, 51, 33, 11, 12, 25, 24, 46, 38, 39, 40, 37, 49, 32, 18, 1, 44, 35, 34, 36, 20, 50, 30, 2, 7, 42, 17, 21, 31, 23, 22, 3, 45, 41, 19, 10, 9, 8, 43, 6, 15, 4, 5, 48",10662.6259560104,3118.62595601038
"31","36, 37, 5, 48, 6, 4, 12, 46, 16, 23, 50, 29, 20, 35, 40, 39, 44, 34, 38, 15, 24, 25, 28, 27, 47, 26, 14, 52, 13, 11, 51, 33, 43, 10, 9, 8, 19, 3, 41, 45, 22, 1, 31, 21, 30, 2, 7, 42, 17, 18, 32, 49",10082.0172604162,2538.01726041615
"32","26, 27, 28, 25, 5, 15, 43, 38, 6, 24, 48, 39, 37, 40, 35, 36, 34, 44, 46, 16, 29, 30, 42, 7, 2, 21, 3, 17, 18, 31, 20, 50, 23, 22, 1, 49, 32, 45, 19, 8, 41, 9, 10, 33, 4, 12, 51, 11, 13, 52, 14, 47",9141.40902439499,1597.40902439499
"33","29, 20, 23, 21, 18, 22, 1, 45, 3, 17, 42, 7, 2, 30, 31, 35, 34, 36, 39, 49, 32, 44, 16, 50, 46, 48, 24, 15, 40, 38, 37, 6, 5, 25, 4, 43, 10, 9, 8, 19, 41, 33, 51, 12, 28, 27, 13, 14, 52, 11, 26, 47",9863.54559897761,2319.54559897761
"34","13, 14, 52, 11, 51, 27, 12, 25, 4, 6, 24, 48, 15, 5, 38, 40, 43, 33, 10, 9, 41, 8, 19, 45, 3, 17, 35, 44, 34, 39, 36, 1, 22, 31, 18, 21, 23, 20, 50, 16, 29, 30, 2, 7, 42, 32, 49, 37, 46, 28, 26, 47",9647.11359532601,2103.11359532601
"35","49, 41, 19, 45, 32, 22, 1, 44, 16, 50, 20, 30, 23, 31, 18, 3, 21, 42, 7, 2, 17, 8, 9, 10, 34, 35, 36, 39, 40, 38, 5, 6, 15, 4, 12, 25, 46, 29, 47, 13, 28, 27, 26, 14, 52, 11, 51, 33, 43, 37, 48, 24",10223.0168873437,2679.01688734371
"36","28, 25, 33, 43, 10, 9, 8, 41, 19, 45, 32, 18, 23, 22, 1, 49, 36, 35, 39, 38, 40, 5, 24, 15, 4, 6, 34, 50, 20, 30, 17, 3, 31, 21, 42, 7, 2, 29, 16, 44, 37, 48, 46, 12, 51, 11, 52, 14, 13, 47, 26, 27",9508.5336625173,1964.5336625173
"37","51, 33, 43, 10, 9, 41, 8, 22, 31, 20, 30, 2, 7, 42, 21, 17, 18, 3, 45, 19, 32, 1, 23, 50, 46, 24, 48, 38, 15, 5, 25, 4, 6, 40, 37, 36, 35, 49, 39, 34, 44, 16, 29, 47, 26, 28, 27, 14, 13, 52, 11, 12",9483.75400314899,1939.75400314899
"38","9, 8, 41, 3, 17, 42, 2, 7, 21, 18, 31, 22, 23, 30, 20, 50, 29, 16, 46, 44, 49, 1, 32, 19, 45, 35, 36, 34, 6, 4, 38, 37, 40, 39, 48, 24, 15, 5, 25, 12, 28, 26, 27, 47, 14, 13, 52, 11, 51, 33, 43, 10",8862.4833217177,1318.4833217177
"39","42, 21, 17, 3, 31, 18, 49, 35, 36, 32, 19, 41, 10, 9, 8, 45, 39, 24, 6, 25, 26, 28, 27, 12, 51, 11, 52, 14, 13, 47, 16, 22, 1, 20, 23, 50, 44, 34, 37, 40, 15, 38, 5, 43, 33, 4, 48, 46, 29, 30, 2, 7",10119.520191972,2575.520191972
"40","22, 23, 30, 42, 7, 2, 17, 21, 1, 34, 49, 32, 36, 40, 38, 48, 6, 37, 39, 35, 44, 29, 20, 50, 16, 46, 47, 27, 28, 26, 13, 14, 52, 11, 51, 12, 4, 25, 24, 5, 15, 43, 33, 10, 9, 8, 41, 19, 45, 3, 18, 31",9161.85224737361,1617.85224737361
"41","29, 30, 20, 50, 23, 1, 49, 22, 31, 21, 2, 7, 42, 17, 18, 3, 41, 9, 10, 8, 19, 45, 32, 36, 35, 39, 40, 38, 15, 5, 24, 48, 37, 34, 44, 46, 25, 6, 4, 43, 33, 51, 12, 11, 28, 26, 27, 13, 14, 52, 47, 16",9162.39912370787,1618.39912370787
"42","47, 26, 25, 46, 16, 44, 1, 49, 32, 45, 19, 9, 10, 8, 41, 18, 3, 17, 21, 42, 7, 2, 30, 20, 50, 29, 23, 31, 22, 35, 34, 36, 40, 5, 38, 39, 37, 24, 48, 15, 6, 4, 43, 33, 51, 12, 28, 27, 13, 11, 52, 14",9007.73988741196,1463.73988741196
"43","34, 39, 40, 37, 38, 48, 24, 15, 5, 6, 4, 25, 12, 27, 26, 47, 28, 13, 14, 52, 11, 51, 33, 43, 10, 9, 8, 41, 19, 45, 18, 3, 17, 7, 2, 42, 21, 30, 31, 23, 20, 50, 29, 16, 46, 44, 1, 22, 49, 32, 36, 35",8356.91197733217,812.911977332169
"44","15, 48, 37, 35, 44, 50, 29, 20, 23, 30, 16, 46, 25, 28, 27, 26, 47, 13, 14, 52, 11, 51, 12, 6, 4, 33, 43, 5, 24, 38, 40, 39, 34, 36, 32, 49, 1, 22, 3, 17, 7, 2, 42, 21, 31, 18, 19, 41, 9, 10, 8, 45",9336.18054236065,1792.18054236065
