"","solution","distance","distance_from_optimum"
"1","42, 2, 7, 21, 23, 30, 20, 29, 46, 16, 1, 48, 15, 37, 35, 33, 11, 52, 13, 26, 14, 47, 28, 27, 51, 12, 4, 43, 45, 41, 50, 31, 40, 39, 44, 49, 36, 5, 25, 38, 6, 34, 24, 22, 32, 18, 3, 19, 8, 10, 9, 17",12757.3636412491,5213.3636412491
"2","14, 47, 26, 28, 13, 25, 43, 10, 9, 3, 30, 20, 23, 16, 44, 36, 32, 22, 31, 17, 18, 21, 7, 42, 2, 15, 29, 50, 49, 1, 41, 45, 19, 8, 5, 24, 48, 39, 35, 40, 46, 4, 6, 38, 37, 34, 12, 52, 11, 51, 33, 27",13540.9262453396,5996.92624533957
"3","4, 5, 15, 6, 40, 36, 8, 9, 10, 33, 38, 49, 1, 20, 22, 3, 45, 19, 41, 43, 51, 12, 27, 28, 11, 14, 13, 52, 26, 47, 50, 29, 46, 48, 24, 35, 16, 44, 34, 39, 37, 30, 2, 7, 17, 18, 23, 42, 21, 31, 32, 25",12721.4400651748,5177.44006517477
"4","52, 13, 26, 47, 28, 27, 11, 12, 25, 37, 38, 44, 50, 32, 10, 43, 8, 41, 9, 39, 34, 46, 36, 35, 49, 17, 42, 7, 2, 30, 23, 29, 22, 15, 5, 24, 48, 4, 33, 51, 6, 40, 3, 18, 21, 1, 19, 45, 31, 20, 16, 14",13377.8701244086,5833.87012440861
"5","48, 34, 37, 38, 40, 36, 32, 45, 19, 43, 33, 10, 9, 8, 41, 3, 22, 49, 20, 42, 7, 2, 1, 35, 26, 47, 51, 28, 13, 14, 27, 52, 11, 12, 15, 4, 25, 44, 39, 29, 16, 50, 18, 17, 21, 31, 23, 30, 5, 6, 46, 24",12554.9989272947,5010.99892729475
"6","37, 49, 44, 16, 15, 40, 31, 18, 17, 7, 30, 50, 29, 21, 2, 42, 23, 47, 51, 11, 26, 12, 14, 52, 28, 27, 13, 46, 6, 24, 1, 22, 20, 35, 43, 33, 10, 19, 41, 3, 32, 45, 8, 9, 25, 38, 5, 4, 48, 36, 34, 39",14464.5630970056,6920.56309700559
"7","49, 34, 31, 3, 45, 8, 41, 9, 37, 24, 38, 44, 22, 1, 50, 16, 10, 19, 32, 18, 17, 23, 30, 26, 28, 13, 27, 47, 14, 52, 11, 51, 12, 15, 6, 46, 29, 20, 42, 2, 7, 21, 43, 33, 5, 48, 25, 4, 39, 35, 40, 36",13067.0485272569,5523.04852725694
"8","18, 1, 36, 45, 19, 34, 16, 20, 23, 32, 22, 49, 39, 44, 6, 43, 5, 37, 40, 33, 11, 52, 14, 13, 27, 26, 28, 12, 51, 25, 24, 8, 41, 9, 10, 3, 17, 21, 42, 7, 2, 30, 29, 47, 50, 35, 46, 4, 38, 15, 48, 31",12191.4811249634,4647.48112496336
"9","11, 51, 28, 12, 13, 52, 14, 47, 27, 26, 29, 37, 40, 43, 15, 4, 16, 25, 46, 48, 5, 18, 31, 22, 19, 9, 10, 41, 8, 33, 6, 45, 3, 17, 21, 30, 42, 7, 2, 20, 50, 44, 39, 34, 23, 49, 32, 1, 36, 35, 24, 38",12696.7793776316,5152.77937763161
"10","33, 43, 9, 8, 10, 19, 45, 5, 6, 37, 15, 41, 22, 23, 50, 29, 20, 30, 2, 7, 42, 3, 17, 21, 1, 18, 31, 16, 26, 11, 52, 14, 13, 47, 28, 27, 12, 46, 38, 39, 49, 34, 32, 35, 24, 48, 25, 36, 44, 40, 51, 4",12781.5710945085,5237.57109450849
"11","47, 28, 27, 13, 14, 30, 17, 3, 41, 8, 15, 12, 26, 52, 11, 33, 43, 4, 25, 6, 39, 37, 40, 38, 48, 5, 24, 46, 16, 29, 2, 7, 42, 21, 18, 31, 1, 20, 50, 23, 44, 35, 32, 22, 49, 34, 36, 19, 45, 9, 10, 51",12542.0675292373,4998.06752923726
"12","45, 9, 8, 41, 19, 10, 33, 43, 4, 25, 27, 26, 52, 13, 14, 47, 28, 11, 51, 12, 5, 46, 34, 44, 15, 37, 40, 39, 36, 31, 18, 21, 7, 2, 42, 30, 23, 20, 50, 16, 29, 38, 35, 6, 48, 24, 49, 22, 1, 32, 3, 17",10914.4201014271,3370.42010142709
"13","31, 17, 21, 7, 2, 42, 18, 3, 41, 43, 51, 33, 9, 10, 8, 19, 1, 48, 4, 6, 40, 35, 36, 37, 38, 46, 28, 26, 27, 13, 47, 14, 52, 11, 12, 25, 15, 5, 24, 34, 49, 32, 45, 39, 44, 29, 30, 16, 23, 22, 20, 50",11424.6960827466,3880.69608274662
"14","21, 42, 7, 2, 3, 17, 22, 19, 45, 41, 8, 9, 10, 46, 5, 6, 15, 24, 37, 39, 38, 4, 25, 26, 47, 27, 13, 14, 52, 11, 51, 33, 43, 12, 28, 29, 44, 1, 32, 49, 35, 36, 34, 40, 48, 16, 50, 23, 30, 20, 18, 31",10724.7193577279,3180.71935772791
"15","44, 24, 38, 40, 31, 42, 7, 2, 21, 22, 35, 46, 16, 23, 30, 29, 50, 20, 18, 3, 17, 36, 49, 1, 48, 15, 5, 6, 4, 43, 12, 51, 25, 52, 14, 13, 11, 28, 26, 27, 47, 37, 34, 39, 33, 10, 9, 8, 41, 19, 45, 32",12006.7669626171,4462.7669626171
"16","16, 20, 15, 25, 48, 38, 39, 37, 34, 44, 46, 40, 35, 50, 23, 7, 2, 42, 30, 29, 47, 26, 14, 13, 52, 11, 27, 12, 28, 51, 33, 10, 9, 19, 8, 17, 18, 3, 21, 31, 22, 49, 1, 32, 36, 45, 41, 43, 4, 6, 24, 5",11285.5685640852,3741.56856408518
"17","40, 34, 50, 16, 20, 46, 25, 43, 9, 10, 41, 8, 19, 45, 49, 36, 35, 44, 32, 1, 31, 18, 3, 22, 23, 30, 17, 21, 2, 7, 42, 29, 39, 6, 15, 48, 37, 24, 38, 5, 4, 12, 51, 28, 27, 13, 52, 26, 47, 14, 11, 33",11405.0066604232,3861.00666042322
"18","11, 12, 38, 26, 4, 6, 5, 37, 40, 43, 33, 9, 41, 8, 10, 19, 1, 22, 32, 45, 3, 18, 21, 42, 2, 7, 17, 31, 23, 20, 29, 30, 50, 16, 44, 34, 36, 49, 35, 39, 15, 24, 48, 25, 46, 47, 13, 14, 52, 27, 28, 51",11095.8165403898,3551.81654038979
