"","solution","distance","distance_from_optimum"
"1","11, 52, 26, 47, 14, 13, 27, 28, 25, 46, 40, 38, 15, 48, 37, 39, 36, 35, 34, 44, 32, 1, 49, 22, 23, 20, 29, 16, 50, 30, 21, 42, 2, 7, 17, 31, 18, 3, 45, 19, 41, 8, 9, 10, 33, 43, 6, 5, 24, 4, 12, 51",9024.90668269705,1480.90668269705
"2","24, 48, 37, 46, 44, 50, 20, 1, 49, 32, 45, 41, 19, 8, 9, 10, 43, 33, 11, 51, 28, 27, 52, 14, 13, 26, 47, 29, 16, 23, 30, 2, 7, 42, 21, 31, 18, 3, 17, 22, 35, 36, 39, 34, 40, 38, 5, 4, 25, 12, 6, 15",9465.77037385083,1921.77037385083
"3","8, 41, 19, 3, 17, 21, 31, 18, 23, 42, 7, 2, 30, 29, 16, 46, 48, 24, 38, 39, 34, 44, 35, 36, 40, 37, 5, 15, 6, 33, 43, 4, 25, 51, 11, 52, 14, 13, 27, 28, 12, 47, 26, 20, 50, 22, 1, 49, 32, 45, 10, 9",9540.1802774683,1996.1802774683
"4","31, 32, 41, 8, 10, 9, 19, 45, 43, 33, 11, 51, 12, 28, 27, 13, 52, 14, 26, 47, 29, 44, 1, 22, 49, 36, 35, 34, 39, 40, 37, 5, 24, 48, 38, 15, 6, 4, 25, 46, 16, 50, 20, 23, 30, 21, 42, 7, 2, 17, 3, 18",8962.43330541747,1418.43330541747
"5","2, 42, 17, 21, 18, 49, 38, 24, 46, 28, 13, 52, 14, 47, 26, 27, 12, 11, 51, 33, 43, 25, 4, 6, 15, 5, 48, 37, 40, 39, 35, 44, 34, 36, 1, 32, 22, 45, 19, 41, 8, 9, 10, 3, 31, 23, 20, 50, 16, 29, 30, 7",9421.75603225403,1877.75603225403
"6","24, 38, 39, 40, 46, 16, 29, 30, 7, 2, 42, 21, 17, 22, 49, 34, 44, 50, 20, 23, 31, 18, 3, 45, 19, 41, 8, 9, 10, 32, 1, 35, 36, 37, 15, 43, 33, 11, 52, 13, 14, 27, 47, 26, 28, 51, 12, 25, 4, 6, 5, 48",9226.17183859942,1682.17183859942
"7","3, 17, 42, 2, 7, 30, 21, 1, 36, 46, 48, 5, 15, 4, 12, 11, 51, 26, 47, 13, 14, 52, 27, 28, 25, 24, 38, 40, 39, 37, 6, 43, 33, 10, 9, 8, 41, 45, 19, 32, 49, 34, 35, 44, 16, 29, 50, 20, 23, 18, 31, 22",9607.31743496071,2063.31743496071
"8","39, 49, 1, 23, 20, 29, 50, 30, 21, 42, 2, 7, 17, 3, 18, 31, 22, 32, 45, 19, 41, 8, 9, 10, 33, 43, 15, 5, 24, 38, 40, 35, 36, 34, 44, 16, 46, 25, 12, 51, 11, 52, 14, 26, 47, 13, 27, 28, 4, 6, 48, 37",8722.70321040602,1178.70321040602
"9","7, 17, 3, 18, 45, 19, 41, 8, 9, 10, 43, 33, 25, 6, 24, 48, 46, 16, 1, 49, 40, 38, 15, 5, 4, 12, 26, 13, 14, 52, 11, 51, 28, 27, 47, 29, 37, 36, 39, 35, 34, 44, 50, 20, 30, 23, 32, 22, 31, 21, 42, 2",9706.47970346878,2162.47970346878
"10","41, 17, 3, 21, 31, 22, 49, 39, 40, 37, 38, 24, 48, 5, 6, 15, 4, 43, 33, 11, 52, 14, 13, 27, 47, 26, 28, 51, 12, 25, 46, 16, 23, 42, 7, 2, 30, 50, 20, 29, 44, 34, 35, 36, 1, 32, 18, 19, 45, 10, 9, 8",9429.38992254392,1885.38992254392
