"","solution","distance","distance_from_optimum"
"1","29, 44, 47, 13, 27, 51, 25, 4, 33, 43, 24, 6, 16, 50, 23, 18, 17, 35, 40, 38, 37, 46, 12, 52, 14, 11, 28, 26, 20, 21, 7, 3, 41, 9, 10, 8, 19, 45, 32, 39, 5, 48, 15, 34, 36, 22, 49, 1, 31, 2, 42, 30",13411.1482671252,5867.14826712524
"2","22, 31, 20, 50, 21, 7, 42, 2, 30, 29, 46, 39, 4, 48, 36, 38, 35, 34, 40, 6, 5, 24, 25, 26, 27, 11, 33, 19, 41, 17, 18, 3, 23, 49, 37, 15, 16, 47, 14, 52, 13, 28, 12, 51, 43, 9, 10, 45, 8, 32, 1, 44",12564.0158985431,5020.01589854314
"3","9, 10, 8, 33, 43, 4, 36, 32, 44, 48, 6, 24, 25, 5, 15, 40, 38, 37, 16, 50, 30, 20, 23, 29, 26, 47, 13, 14, 52, 27, 11, 51, 12, 28, 46, 34, 39, 35, 18, 31, 21, 7, 42, 2, 22, 1, 49, 17, 3, 19, 45, 41",11026.7635139679,3482.76351396792
"4","5, 48, 46, 25, 11, 28, 27, 13, 52, 51, 33, 43, 10, 8, 45, 18, 32, 22, 1, 30, 2, 7, 42, 21, 31, 3, 19, 41, 9, 17, 23, 20, 29, 37, 35, 49, 36, 44, 50, 16, 24, 4, 12, 26, 14, 47, 6, 38, 40, 34, 39, 15",12093.1841618344,4549.18416183437
"5","8, 9, 10, 3, 17, 7, 42, 2, 29, 50, 25, 46, 24, 37, 35, 49, 1, 22, 32, 21, 30, 23, 39, 36, 15, 6, 4, 47, 14, 26, 13, 11, 12, 51, 52, 28, 27, 33, 43, 38, 40, 5, 48, 34, 44, 16, 20, 31, 18, 19, 45, 41",12052.2788946717,4508.27889467174
"6","33, 12, 13, 52, 47, 27, 26, 28, 51, 11, 14, 50, 23, 34, 5, 24, 46, 16, 29, 44, 1, 35, 39, 36, 22, 8, 10, 9, 19, 45, 41, 3, 18, 17, 2, 42, 7, 21, 30, 20, 31, 49, 32, 43, 15, 6, 4, 25, 37, 38, 48, 40",12394.149504648,4850.14950464798
"7","36, 39, 48, 6, 38, 46, 4, 15, 34, 20, 50, 25, 37, 5, 24, 45, 19, 8, 10, 41, 9, 43, 33, 11, 12, 51, 28, 27, 26, 13, 14, 52, 47, 29, 16, 23, 21, 3, 22, 49, 1, 32, 18, 31, 17, 2, 42, 7, 30, 40, 35, 44",11596.839397318,4052.83939731796
"8","11, 26, 47, 27, 28, 25, 46, 38, 49, 18, 23, 29, 44, 16, 50, 20, 30, 2, 42, 7, 21, 31, 17, 3, 41, 8, 9, 10, 33, 5, 12, 51, 43, 6, 24, 48, 39, 40, 45, 19, 1, 22, 36, 32, 35, 37, 15, 4, 34, 14, 13, 52",11894.1825066543,4350.1825066543
"9","44, 36, 45, 8, 41, 17, 18, 31, 21, 7, 42, 2, 22, 3, 19, 43, 9, 10, 33, 38, 24, 37, 40, 35, 39, 49, 50, 1, 34, 48, 25, 6, 15, 4, 51, 11, 52, 14, 47, 13, 28, 26, 27, 12, 5, 46, 16, 29, 30, 20, 23, 32",11597.058974673,4053.05897467297
"10","5, 15, 48, 19, 45, 9, 8, 41, 3, 18, 22, 23, 29, 50, 30, 31, 17, 21, 42, 2, 7, 20, 44, 1, 34, 36, 37, 39, 35, 49, 32, 43, 10, 33, 12, 27, 13, 46, 16, 40, 38, 51, 11, 47, 26, 14, 52, 28, 25, 6, 4, 24",12320.353237572,4776.35323757198
"11","40, 37, 38, 24, 48, 6, 5, 15, 34, 35, 44, 20, 50, 30, 29, 16, 51, 12, 28, 27, 47, 26, 14, 13, 52, 11, 33, 43, 4, 25, 46, 39, 45, 19, 41, 8, 9, 10, 3, 31, 23, 21, 2, 7, 42, 17, 18, 22, 1, 32, 49, 36",9646.36187162895,2102.36187162895
"12","37, 34, 1, 49, 35, 36, 39, 40, 38, 4, 25, 47, 13, 14, 52, 11, 51, 12, 28, 27, 26, 46, 16, 20, 23, 31, 21, 42, 2, 7, 30, 29, 50, 44, 22, 32, 18, 17, 3, 41, 8, 45, 19, 43, 33, 10, 9, 6, 15, 5, 24, 48",9678.53629635971,2134.53629635971
"13","13, 28, 27, 26, 47, 16, 44, 50, 23, 20, 29, 30, 21, 42, 7, 2, 17, 3, 18, 31, 22, 32, 1, 35, 34, 36, 39, 15, 48, 24, 40, 49, 19, 9, 10, 8, 41, 45, 43, 33, 46, 37, 38, 5, 6, 4, 25, 12, 51, 11, 52, 14",9406.93466943206,1862.93466943206
"14","13, 47, 26, 27, 28, 12, 51, 33, 43, 5, 24, 48, 46, 16, 44, 36, 34, 49, 32, 45, 41, 9, 10, 8, 19, 3, 17, 31, 18, 23, 20, 50, 29, 30, 2, 7, 42, 21, 22, 1, 35, 39, 40, 37, 38, 15, 6, 25, 4, 11, 52, 14",8860.90400043553,1316.90400043553
"15","44, 1, 22, 18, 3, 45, 43, 33, 10, 9, 8, 19, 41, 17, 42, 2, 7, 30, 21, 23, 31, 32, 49, 36, 35, 34, 39, 24, 6, 5, 48, 15, 25, 12, 28, 27, 26, 47, 13, 14, 52, 11, 51, 4, 37, 38, 40, 46, 16, 50, 20, 29",9311.01245055089,1767.01245055089
"16","28, 4, 15, 5, 38, 37, 39, 40, 34, 44, 48, 24, 6, 43, 33, 10, 9, 8, 41, 19, 45, 22, 18, 31, 42, 2, 7, 21, 3, 17, 32, 49, 36, 35, 1, 50, 20, 23, 30, 29, 16, 46, 25, 13, 27, 26, 47, 14, 52, 11, 51, 12",9525.85188320734,1981.85188320734
"17","26, 47, 14, 52, 13, 28, 25, 24, 48, 38, 6, 5, 37, 40, 39, 32, 49, 36, 35, 34, 44, 46, 16, 29, 30, 21, 42, 2, 7, 17, 3, 18, 31, 50, 20, 23, 1, 22, 45, 19, 41, 8, 9, 10, 33, 43, 15, 4, 12, 51, 11, 27",8849.25713709515,1305.25713709515
"18","45, 19, 41, 8, 9, 10, 33, 43, 38, 48, 24, 15, 6, 25, 12, 27, 28, 26, 47, 14, 13, 52, 11, 51, 46, 4, 5, 40, 37, 34, 44, 16, 29, 20, 50, 23, 22, 1, 32, 49, 35, 39, 36, 17, 7, 2, 42, 30, 21, 31, 18, 3",9164.62376066119,1620.62376066119
"19","17, 7, 2, 42, 21, 31, 23, 20, 50, 30, 29, 16, 44, 46, 25, 51, 28, 12, 26, 47, 27, 14, 13, 52, 11, 33, 43, 4, 6, 24, 37, 48, 5, 15, 38, 40, 34, 35, 36, 39, 32, 1, 49, 22, 18, 3, 19, 45, 10, 9, 8, 41",9356.6008980694,1812.6008980694
"20","51, 4, 46, 44, 36, 35, 49, 32, 23, 20, 50, 16, 29, 30, 2, 7, 42, 17, 21, 31, 22, 1, 34, 39, 40, 37, 38, 48, 24, 6, 15, 5, 25, 43, 45, 18, 3, 19, 8, 41, 9, 10, 33, 11, 52, 13, 14, 47, 26, 28, 27, 12",9293.54091783465,1749.54091783465
"21","28, 27, 26, 47, 13, 14, 52, 11, 51, 33, 9, 10, 8, 41, 3, 19, 45, 32, 36, 35, 40, 24, 6, 5, 39, 43, 4, 15, 38, 48, 37, 49, 1, 22, 23, 31, 18, 17, 21, 42, 7, 2, 30, 20, 44, 46, 34, 16, 29, 50, 25, 12",9531.1477357653,1987.1477357653
"22","2, 7, 30, 23, 20, 35, 36, 45, 19, 10, 9, 8, 41, 17, 3, 18, 32, 49, 1, 46, 27, 26, 47, 13, 14, 52, 28, 12, 11, 51, 25, 43, 33, 4, 6, 5, 48, 24, 37, 40, 15, 38, 39, 44, 50, 29, 16, 34, 22, 31, 21, 42",10193.8905500262,2649.89055002617
"23","24, 5, 25, 46, 16, 47, 27, 26, 12, 28, 52, 13, 14, 11, 51, 4, 15, 38, 40, 48, 6, 43, 33, 10, 9, 8, 41, 19, 45, 1, 22, 50, 30, 17, 3, 32, 18, 31, 21, 7, 42, 2, 29, 20, 23, 44, 34, 35, 36, 49, 39, 37",10494.8951429355,2950.8951429355
"24","27, 47, 26, 28, 12, 15, 5, 43, 9, 10, 8, 41, 19, 3, 18, 31, 21, 17, 42, 7, 2, 23, 50, 20, 30, 29, 16, 22, 32, 49, 1, 45, 39, 36, 35, 34, 40, 48, 38, 37, 24, 44, 46, 25, 6, 4, 33, 51, 11, 52, 14, 13",9454.89709345449,1910.89709345449
"25","34, 37, 24, 48, 15, 5, 38, 40, 45, 3, 9, 10, 43, 19, 8, 41, 33, 51, 11, 52, 13, 26, 47, 14, 27, 12, 28, 4, 6, 25, 46, 16, 29, 21, 17, 2, 7, 42, 30, 50, 20, 23, 31, 18, 22, 32, 49, 1, 44, 39, 36, 35",10103.9291918946,2559.92919189464
