"","solution","distance","distance_from_optimum"
"1","67, 76, 75, 6, 26, 34, 46, 14, 65, 66, 11, 59, 19, 54, 57, 15, 20, 70, 60, 37, 47, 36, 71, 69, 28, 22, 64, 74, 48, 30, 68, 2, 29, 5, 52, 8, 13, 27, 45, 21, 61, 41, 42, 43, 73, 62, 40, 9, 39, 31, 10, 38, 35, 53, 7, 58, 72, 12, 3, 32, 25, 50, 55, 18, 44, 24, 63, 33, 1, 56, 23, 49, 51, 16, 17, 4",847.741912670628,302.741912670628
"2","31, 65, 11, 59, 66, 53, 7, 46, 45, 5, 15, 57, 29, 30, 62, 22, 1, 43, 23, 63, 73, 49, 24, 18, 55, 25, 9, 17, 26, 34, 4, 12, 50, 44, 3, 16, 51, 75, 20, 70, 71, 60, 37, 69, 21, 47, 36, 48, 68, 2, 74, 28, 61, 41, 42, 64, 56, 33, 6, 76, 67, 52, 27, 13, 54, 19, 35, 8, 14, 38, 72, 40, 32, 39, 58, 10",834.677281787595,289.677281787595
"3","27, 34, 46, 8, 53, 35, 19, 7, 39, 40, 12, 58, 38, 14, 59, 11, 66, 65, 10, 72, 9, 31, 25, 18, 55, 50, 32, 44, 3, 49, 16, 51, 21, 74, 28, 62, 61, 64, 42, 41, 56, 24, 63, 33, 23, 43, 22, 1, 73, 6, 17, 68, 48, 71, 60, 69, 36, 47, 29, 5, 37, 70, 20, 57, 54, 13, 52, 67, 26, 76, 75, 4, 2, 30, 45, 15",790.77319902023,245.77319902023
"4","36, 71, 37, 60, 70, 20, 5, 57, 13, 27, 52, 15, 29, 48, 21, 69, 61, 22, 62, 74, 45, 75, 76, 26, 67, 34, 4, 6, 49, 40, 17, 68, 46, 19, 54, 8, 59, 11, 66, 65, 38, 58, 12, 53, 14, 35, 7, 72, 10, 31, 55, 18, 50, 24, 56, 23, 16, 63, 3, 44, 32, 9, 25, 39, 51, 33, 73, 1, 43, 42, 41, 64, 28, 2, 30, 47",801.851806128771,256.851806128771
"5","29, 34, 67, 17, 76, 26, 8, 59, 66, 65, 11, 38, 9, 55, 49, 23, 41, 43, 1, 28, 2, 68, 4, 75, 6, 63, 33, 73, 62, 61, 69, 36, 71, 60, 20, 37, 5, 15, 70, 57, 54, 14, 35, 19, 13, 45, 47, 21, 48, 30, 74, 22, 42, 64, 56, 44, 3, 12, 50, 18, 24, 16, 51, 40, 39, 31, 25, 32, 72, 58, 10, 53, 7, 46, 27, 52",863.220881086473,318.220881086473
"6","58, 10, 26, 12, 76, 51, 17, 67, 75, 4, 34, 7, 72, 9, 39, 50, 18, 55, 24, 49, 16, 2, 28, 62, 30, 36, 71, 60, 70, 47, 21, 5, 13, 19, 14, 11, 65, 66, 59, 35, 53, 8, 52, 46, 27, 29, 45, 48, 74, 54, 57, 15, 37, 20, 69, 61, 64, 43, 42, 41, 56, 23, 1, 63, 44, 3, 68, 73, 33, 22, 6, 40, 32, 25, 31, 38",871.224323629309,326.224323629309
"7","60, 70, 20, 69, 47, 61, 21, 30, 2, 74, 28, 22, 73, 62, 1, 43, 23, 63, 33, 6, 75, 67, 76, 51, 16, 49, 42, 64, 56, 41, 24, 18, 55, 25, 50, 32, 3, 44, 17, 68, 45, 54, 13, 46, 53, 35, 14, 59, 11, 66, 65, 38, 10, 39, 31, 72, 58, 40, 9, 12, 26, 7, 8, 19, 52, 27, 34, 4, 29, 5, 36, 48, 57, 15, 37, 71",779.310575692334,234.310575692334
"8","10, 31, 32, 16, 63, 49, 23, 1, 33, 51, 3, 40, 67, 34, 46, 8, 13, 54, 14, 19, 53, 35, 7, 26, 75, 76, 6, 17, 4, 30, 48, 45, 27, 52, 68, 2, 21, 61, 5, 29, 47, 69, 36, 70, 71, 60, 37, 20, 57, 15, 74, 28, 73, 43, 64, 62, 22, 42, 41, 56, 24, 50, 25, 55, 18, 44, 9, 39, 12, 72, 58, 38, 65, 11, 59, 66",804.598879883246,259.598879883246
"9","26, 12, 76, 67, 75, 51, 17, 40, 44, 3, 16, 18, 55, 25, 50, 9, 39, 32, 6, 2, 74, 48, 30, 52, 46, 19, 27, 13, 54, 4, 45, 37, 60, 71, 69, 36, 47, 21, 61, 28, 73, 22, 43, 42, 64, 62, 1, 56, 49, 24, 23, 41, 63, 33, 68, 29, 15, 57, 20, 70, 5, 34, 8, 35, 11, 14, 31, 72, 65, 10, 58, 7, 38, 66, 59, 53",869.30117689717,324.30117689717
"10","32, 9, 39, 25, 55, 50, 24, 49, 33, 17, 76, 75, 45, 4, 67, 26, 12, 10, 58, 46, 34, 68, 2, 74, 62, 28, 21, 5, 57, 20, 37, 70, 47, 36, 71, 60, 69, 61, 48, 30, 29, 27, 8, 52, 7, 35, 19, 54, 15, 13, 14, 59, 66, 65, 38, 11, 53, 31, 72, 40, 3, 18, 16, 63, 73, 1, 56, 41, 42, 64, 22, 43, 23, 51, 6, 44",827.91093002983,282.91093002983
"11","30, 2, 33, 63, 73, 1, 16, 3, 18, 49, 24, 44, 51, 6, 57, 54, 14, 53, 59, 11, 65, 31, 55, 25, 50, 40, 32, 39, 72, 12, 26, 34, 46, 35, 7, 8, 45, 52, 27, 13, 19, 67, 4, 75, 76, 58, 10, 66, 38, 9, 17, 68, 29, 15, 20, 70, 71, 60, 36, 69, 47, 37, 5, 21, 22, 62, 43, 42, 41, 23, 56, 64, 61, 28, 74, 48",840.83068799667,295.83068799667
"12","63, 23, 41, 42, 56, 24, 49, 16, 33, 73, 43, 22, 64, 1, 62, 61, 15, 29, 45, 34, 76, 58, 72, 53, 14, 59, 66, 35, 7, 54, 57, 52, 19, 13, 27, 37, 20, 60, 70, 71, 36, 69, 21, 28, 2, 74, 48, 47, 5, 30, 68, 4, 75, 26, 12, 40, 44, 50, 18, 55, 25, 31, 65, 11, 38, 10, 39, 9, 32, 3, 51, 17, 67, 46, 8, 6",815.028014622937,270.028014622937
"13","54, 13, 57, 15, 8, 45, 48, 5, 29, 47, 37, 20, 70, 60, 71, 36, 69, 28, 61, 21, 74, 27, 52, 46, 67, 17, 51, 9, 39, 55, 25, 32, 18, 3, 2, 73, 62, 33, 41, 43, 42, 22, 64, 1, 63, 16, 23, 56, 49, 24, 50, 44, 40, 12, 6, 30, 68, 75, 76, 4, 34, 7, 19, 35, 11, 65, 38, 58, 10, 26, 72, 31, 66, 14, 53, 59",824.197768568984,279.197768568984
"14","19, 8, 67, 75, 30, 45, 29, 13, 35, 53, 7, 46, 52, 4, 6, 68, 26, 58, 12, 17, 34, 76, 3, 44, 55, 50, 9, 32, 40, 39, 72, 10, 25, 31, 38, 65, 11, 66, 14, 59, 54, 57, 15, 20, 69, 60, 70, 71, 36, 37, 28, 62, 1, 73, 33, 51, 16, 63, 41, 42, 64, 22, 56, 18, 24, 49, 23, 43, 2, 74, 48, 47, 21, 61, 5, 27",862.592447994142,317.592447994142
"15","10, 31, 65, 11, 53, 58, 67, 4, 13, 57, 52, 46, 34, 30, 68, 2, 74, 28, 64, 42, 73, 62, 6, 76, 75, 51, 40, 12, 26, 7, 38, 66, 59, 14, 19, 35, 8, 27, 54, 15, 20, 60, 70, 36, 69, 47, 48, 21, 45, 29, 5, 37, 71, 61, 22, 1, 23, 41, 56, 43, 33, 63, 16, 44, 32, 49, 24, 50, 18, 55, 39, 17, 3, 25, 9, 72",833.402362383229,288.402362383229
