"","solution","distance","distance_from_optimum"
"1","16, 7, 69, 41, 76, 42, 23, 44, 52, 30, 35, 27, 25, 66, 38, 54, 50, 51, 71, 57, 29, 6, 61, 58, 55, 21, 1, 8, 12, 14, 15, 40, 13, 10, 18, 49, 19, 67, 48, 28, 60, 37, 70, 22, 43, 39, 2, 34, 74, 5, 47, 68, 46, 26, 65, 59, 3, 75, 63, 31, 32, 72, 17, 56, 62, 36, 45, 4, 64, 20, 33, 24, 73, 9, 53, 11",2181.6372802438,1636.6372802438
"2","42, 76, 67, 17, 53, 69, 5, 57, 31, 68, 72, 24, 61, 26, 74, 6, 51, 63, 21, 48, 71, 43, 18, 40, 11, 70, 22, 25, 75, 33, 13, 59, 12, 27, 9, 47, 58, 65, 64, 34, 37, 15, 4, 73, 45, 52, 2, 60, 36, 29, 50, 32, 7, 8, 10, 54, 46, 62, 56, 14, 39, 35, 55, 49, 41, 16, 30, 20, 66, 1, 23, 3, 44, 38, 19, 28",2256.4380412044,1711.4380412044
"3","76, 47, 22, 67, 4, 72, 58, 33, 16, 62, 21, 28, 42, 41, 63, 36, 25, 8, 13, 14, 10, 66, 30, 35, 49, 54, 65, 69, 38, 64, 70, 60, 73, 43, 31, 59, 23, 71, 75, 29, 26, 6, 19, 12, 27, 32, 34, 46, 40, 17, 15, 61, 9, 44, 51, 56, 74, 11, 7, 18, 55, 39, 57, 68, 20, 50, 5, 3, 24, 1, 37, 48, 2, 53, 52, 45",2289.89124052586,1744.89124052586
"4","1, 40, 48, 60, 20, 50, 49, 16, 71, 62, 52, 5, 69, 25, 26, 10, 18, 39, 66, 15, 54, 32, 42, 57, 74, 65, 8, 7, 11, 9, 59, 23, 73, 67, 75, 76, 36, 30, 61, 37, 33, 2, 17, 72, 3, 24, 56, 22, 35, 47, 31, 51, 38, 19, 58, 14, 45, 43, 55, 27, 34, 68, 44, 63, 4, 21, 46, 53, 6, 12, 13, 64, 28, 41, 29, 70",2227.85523523769,1682.85523523769
"5","31, 16, 3, 23, 70, 45, 76, 40, 50, 41, 73, 28, 30, 72, 66, 44, 47, 57, 15, 46, 4, 6, 7, 33, 36, 27, 19, 26, 61, 52, 2, 67, 29, 14, 38, 32, 25, 24, 21, 75, 60, 49, 63, 20, 55, 68, 59, 48, 71, 64, 62, 39, 53, 43, 56, 69, 22, 74, 5, 1, 12, 13, 8, 34, 35, 58, 51, 42, 18, 9, 17, 11, 10, 37, 65, 54",2178.40937100651,1633.40937100651
"6","1, 43, 17, 24, 3, 27, 58, 10, 50, 28, 30, 70, 69, 33, 47, 51, 4, 66, 75, 12, 19, 23, 76, 65, 36, 63, 56, 67, 20, 29, 74, 72, 52, 46, 26, 8, 57, 48, 31, 18, 53, 9, 62, 44, 68, 49, 42, 32, 59, 16, 71, 13, 61, 64, 21, 14, 25, 6, 5, 34, 37, 45, 41, 15, 73, 22, 40, 54, 60, 11, 35, 7, 2, 55, 38, 39",2330.4535530218,1785.4535530218
"7","40, 70, 3, 39, 34, 58, 11, 30, 56, 47, 46, 67, 4, 2, 6, 62, 19, 8, 76, 71, 15, 60, 28, 64, 33, 51, 72, 65, 14, 27, 48, 26, 68, 18, 24, 42, 22, 13, 43, 9, 29, 23, 50, 44, 5, 53, 37, 16, 1, 31, 32, 21, 59, 66, 61, 73, 45, 20, 49, 12, 63, 74, 57, 36, 25, 17, 35, 75, 69, 7, 52, 54, 55, 38, 41, 10",2284.50000068267,1739.50000068267
"8","60, 59, 19, 40, 50, 38, 10, 33, 20, 22, 43, 52, 72, 55, 1, 31, 49, 63, 67, 25, 16, 17, 42, 28, 58, 39, 56, 18, 14, 3, 8, 68, 7, 36, 73, 23, 30, 2, 27, 53, 54, 13, 34, 11, 6, 62, 32, 9, 74, 57, 61, 51, 70, 76, 41, 29, 64, 47, 44, 69, 65, 12, 5, 71, 45, 24, 26, 75, 21, 15, 48, 4, 66, 46, 35, 37",2283.42788864351,1738.42788864351
"9","63, 18, 52, 29, 43, 32, 36, 73, 11, 72, 26, 53, 28, 13, 62, 33, 8, 22, 51, 50, 25, 56, 31, 40, 9, 23, 49, 1, 57, 34, 71, 4, 64, 42, 60, 16, 17, 54, 75, 70, 7, 38, 47, 67, 14, 35, 65, 46, 27, 5, 19, 59, 20, 66, 55, 6, 39, 12, 3, 37, 74, 45, 61, 69, 76, 58, 44, 48, 24, 10, 21, 68, 15, 30, 2, 41",2241.02199062209,1696.02199062209
"10","33, 32, 26, 66, 30, 46, 21, 5, 49, 13, 47, 27, 37, 74, 70, 4, 44, 51, 36, 6, 48, 54, 12, 75, 24, 41, 58, 38, 61, 29, 42, 40, 63, 55, 7, 22, 56, 34, 68, 64, 15, 31, 14, 9, 28, 2, 62, 10, 65, 69, 23, 18, 39, 59, 35, 73, 60, 20, 57, 45, 17, 16, 67, 8, 71, 43, 1, 76, 19, 25, 50, 53, 11, 52, 3, 72",2264.39812329748,1719.39812329748
"11","12, 10, 65, 66, 59, 18, 24, 23, 33, 45, 34, 6, 15, 54, 29, 5, 37, 20, 36, 60, 21, 48, 74, 2, 32, 51, 49, 3, 30, 27, 14, 11, 38, 57, 71, 43, 61, 73, 76, 75, 4, 47, 69, 70, 28, 64, 42, 41, 62, 68, 17, 1, 22, 56, 9, 58, 44, 50, 39, 55, 25, 31, 8, 46, 19, 52, 13, 35, 53, 72, 7, 67, 26, 16, 63, 40",1292.95659147989,747.956591479887
"12","51, 63, 6, 4, 16, 55, 50, 31, 66, 59, 19, 9, 26, 67, 46, 34, 27, 14, 40, 47, 21, 33, 1, 74, 41, 56, 25, 39, 49, 24, 72, 38, 3, 32, 12, 58, 75, 57, 71, 48, 35, 53, 76, 68, 30, 45, 52, 15, 36, 29, 64, 42, 44, 18, 17, 54, 13, 11, 10, 65, 7, 8, 5, 37, 20, 70, 60, 69, 61, 62, 73, 22, 2, 28, 43, 23",1340.81779019192,795.817790191919
"13","20, 37, 8, 59, 66, 65, 14, 12, 50, 40, 47, 22, 62, 74, 2, 68, 30, 13, 19, 35, 67, 45, 57, 4, 52, 27, 29, 26, 17, 15, 70, 69, 54, 72, 58, 38, 11, 10, 25, 18, 55, 31, 39, 9, 32, 53, 75, 76, 48, 21, 43, 56, 49, 24, 3, 16, 6, 28, 73, 61, 63, 1, 23, 51, 7, 46, 34, 60, 42, 64, 41, 33, 44, 71, 36, 5",1286.38975793164,741.389757931643
"14","57, 73, 33, 43, 64, 42, 41, 23, 63, 16, 4, 62, 1, 48, 71, 60, 70, 36, 53, 65, 68, 45, 47, 37, 5, 74, 21, 51, 49, 25, 31, 39, 26, 58, 8, 75, 2, 69, 61, 22, 27, 34, 59, 66, 46, 52, 76, 40, 3, 44, 11, 17, 6, 38, 10, 72, 32, 24, 28, 56, 30, 29, 15, 13, 54, 12, 50, 55, 18, 9, 19, 67, 7, 35, 14, 20",1350.22417358355,805.22417358355
"15","18, 44, 9, 51, 28, 30, 42, 33, 63, 1, 75, 20, 5, 15, 13, 8, 34, 14, 38, 66, 35, 19, 59, 11, 55, 49, 41, 32, 31, 39, 72, 10, 12, 17, 26, 68, 73, 74, 43, 64, 22, 61, 47, 71, 70, 57, 60, 21, 37, 48, 36, 69, 2, 67, 40, 6, 29, 46, 4, 54, 27, 62, 24, 56, 23, 16, 50, 25, 3, 65, 58, 7, 53, 52, 45, 76",1303.37939892794,758.379398927937
