"","solution","distance","distance_from_optimum"
"1","46, 67, 19, 65, 66, 38, 34, 14, 40, 3, 9, 4, 76, 39, 25, 32, 50, 44, 62, 2, 21, 61, 74, 29, 69, 6, 42, 43, 23, 64, 41, 1, 56, 22, 49, 63, 24, 55, 18, 58, 53, 59, 35, 51, 33, 28, 47, 37, 54, 11, 72, 10, 31, 12, 26, 75, 48, 36, 60, 70, 71, 30, 16, 17, 68, 73, 45, 52, 8, 7, 27, 57, 5, 20, 15, 13",1234.75163962102,689.751639621025
"2","21, 28, 46, 45, 27, 29, 68, 6, 26, 31, 25, 39, 9, 67, 52, 58, 76, 22, 17, 12, 11, 65, 10, 66, 38, 59, 13, 8, 35, 7, 19, 14, 54, 34, 61, 56, 41, 64, 36, 15, 5, 57, 20, 60, 37, 71, 70, 69, 47, 4, 42, 43, 2, 50, 24, 55, 40, 32, 72, 53, 51, 75, 74, 48, 30, 62, 3, 18, 44, 49, 63, 1, 73, 23, 16, 33",1254.89912436582,709.899124365824
"3","70, 20, 47, 60, 71, 69, 28, 23, 18, 51, 63, 73, 64, 42, 17, 24, 68, 12, 44, 41, 74, 45, 61, 2, 62, 16, 50, 49, 39, 9, 31, 25, 55, 32, 22, 56, 43, 1, 33, 6, 26, 67, 34, 46, 4, 53, 14, 54, 57, 30, 58, 40, 10, 11, 38, 7, 75, 21, 5, 52, 48, 36, 15, 27, 13, 8, 19, 59, 37, 29, 76, 3, 72, 65, 66, 35",1335.57945407173,790.579454071726
"4","16, 50, 58, 62, 42, 30, 40, 3, 2, 69, 20, 15, 5, 36, 71, 60, 4, 28, 68, 1, 73, 41, 23, 22, 9, 25, 55, 56, 64, 61, 29, 45, 27, 54, 19, 65, 26, 44, 33, 43, 63, 49, 12, 31, 66, 59, 35, 34, 8, 52, 46, 51, 17, 67, 7, 11, 53, 14, 38, 10, 72, 39, 76, 21, 47, 48, 70, 37, 74, 13, 57, 75, 24, 18, 32, 6",1303.84420834161,758.844208341607
"5","32, 55, 25, 24, 64, 56, 1, 43, 6, 73, 2, 70, 21, 22, 68, 46, 52, 45, 54, 59, 66, 19, 14, 35, 75, 67, 12, 72, 7, 31, 39, 49, 16, 48, 4, 30, 33, 63, 62, 42, 41, 18, 50, 51, 3, 44, 17, 34, 53, 8, 38, 40, 58, 10, 65, 11, 23, 74, 37, 20, 60, 71, 47, 5, 13, 15, 29, 57, 36, 61, 69, 28, 27, 26, 76, 9",1255.86558258228,710.865582582285
"6","8, 14, 70, 69, 61, 48, 43, 23, 49, 73, 74, 45, 53, 59, 65, 55, 3, 24, 18, 16, 67, 7, 57, 54, 46, 27, 26, 4, 28, 47, 21, 22, 71, 72, 38, 17, 76, 6, 36, 60, 20, 13, 33, 56, 41, 64, 42, 63, 62, 2, 1, 44, 32, 9, 31, 25, 12, 40, 50, 39, 35, 15, 19, 68, 75, 29, 5, 37, 30, 34, 52, 11, 66, 58, 10, 51",1387.66839499898,842.668394998975
"7","8, 35, 34, 68, 67, 45, 47, 12, 44, 1, 43, 62, 22, 64, 63, 30, 48, 21, 73, 23, 6, 52, 5, 29, 20, 70, 37, 27, 74, 61, 69, 36, 60, 40, 72, 24, 16, 28, 33, 32, 49, 41, 42, 56, 2, 75, 66, 11, 53, 13, 46, 26, 58, 51, 39, 9, 25, 18, 55, 50, 3, 17, 4, 59, 71, 15, 57, 76, 10, 31, 65, 38, 7, 54, 19, 14",1299.08886259688,754.088862596885
"8","11, 52, 48, 60, 70, 47, 74, 46, 34, 32, 3, 63, 49, 25, 55, 44, 40, 57, 14, 59, 53, 7, 19, 27, 37, 1, 22, 56, 43, 50, 18, 12, 31, 38, 10, 65, 66, 72, 58, 35, 9, 4, 17, 51, 16, 24, 33, 26, 13, 15, 71, 45, 30, 67, 76, 6, 54, 8, 75, 68, 73, 42, 28, 2, 29, 5, 20, 36, 69, 21, 61, 62, 64, 41, 23, 39",1288.7853050134,743.785305013397
"9","26, 35, 7, 12, 65, 39, 17, 68, 6, 40, 50, 25, 18, 24, 63, 33, 23, 3, 16, 51, 76, 46, 36, 60, 71, 28, 22, 15, 8, 19, 34, 74, 42, 64, 73, 62, 2, 4, 32, 49, 55, 56, 43, 41, 75, 13, 29, 67, 54, 14, 11, 53, 52, 27, 66, 31, 58, 9, 72, 44, 5, 57, 45, 1, 61, 48, 69, 47, 21, 30, 70, 20, 37, 59, 38, 10",1313.99243253858,768.992432538579
"10","1, 41, 42, 61, 64, 28, 74, 62, 73, 33, 6, 68, 65, 54, 66, 11, 59, 13, 45, 36, 15, 71, 70, 22, 56, 18, 24, 49, 4, 34, 8, 69, 21, 60, 37, 27, 19, 75, 39, 25, 44, 72, 51, 16, 63, 3, 32, 58, 46, 30, 5, 29, 67, 26, 40, 17, 2, 57, 20, 47, 48, 52, 35, 10, 7, 31, 12, 14, 53, 38, 9, 50, 55, 76, 43, 23",1320.16363768226,775.163637682261
