"","solution","distance","distance_from_optimum"
"1","76, 67, 7, 52, 27, 45, 60, 71, 70, 20, 15, 57, 13, 54, 8, 19, 46, 34, 5, 74, 16, 56, 23, 63, 33, 1, 42, 64, 43, 41, 22, 28, 21, 30, 48, 47, 61, 69, 36, 37, 29, 68, 75, 17, 51, 6, 73, 62, 2, 4, 35, 39, 31, 66, 14, 59, 53, 11, 38, 65, 10, 58, 72, 40, 3, 44, 32, 9, 50, 25, 55, 18, 24, 49, 12, 26",812.452018124751,267.452018124751
"2","71, 20, 29, 45, 27, 68, 30, 34, 52, 4, 46, 67, 35, 10, 72, 40, 12, 26, 32, 16, 44, 3, 25, 31, 53, 7, 19, 8, 54, 57, 13, 15, 48, 2, 33, 41, 43, 23, 56, 62, 73, 6, 51, 75, 76, 17, 58, 38, 65, 11, 66, 59, 14, 39, 9, 50, 18, 55, 24, 49, 63, 1, 42, 64, 22, 61, 28, 74, 47, 21, 36, 69, 60, 70, 37, 5",860.660076897096,315.660076897096
"3","31, 32, 9, 72, 58, 53, 66, 38, 10, 59, 57, 70, 36, 5, 37, 15, 27, 34, 29, 48, 74, 69, 60, 71, 20, 54, 19, 13, 11, 65, 14, 12, 39, 44, 3, 49, 16, 63, 24, 56, 23, 41, 1, 22, 61, 21, 45, 4, 76, 68, 30, 2, 47, 28, 64, 42, 43, 62, 73, 33, 75, 6, 51, 46, 52, 8, 35, 7, 67, 26, 17, 40, 50, 18, 25, 55",919.928931228534,374.928931228534
"4","34, 67, 46, 6, 51, 12, 72, 58, 39, 9, 32, 44, 55, 25, 18, 50, 16, 68, 63, 42, 64, 41, 43, 56, 24, 3, 49, 23, 1, 73, 33, 62, 22, 28, 61, 5, 48, 30, 27, 17, 40, 26, 76, 4, 2, 74, 47, 21, 71, 36, 69, 60, 70, 37, 20, 29, 45, 75, 52, 13, 57, 15, 54, 19, 7, 31, 38, 10, 65, 11, 66, 59, 14, 8, 53, 35",839.736885268927,294.736885268927
"5","39, 72, 31, 10, 11, 53, 38, 65, 66, 59, 58, 12, 67, 76, 75, 35, 14, 19, 8, 7, 13, 52, 54, 57, 15, 60, 20, 70, 71, 36, 37, 47, 69, 5, 48, 21, 28, 61, 74, 30, 4, 46, 34, 27, 29, 45, 68, 6, 2, 1, 64, 41, 43, 42, 23, 63, 33, 51, 26, 17, 40, 3, 32, 9, 25, 55, 18, 16, 73, 62, 22, 56, 49, 24, 50, 44",811.707677597533,266.707677597533
"6","62, 73, 28, 21, 36, 20, 70, 60, 69, 71, 37, 15, 57, 54, 13, 8, 19, 7, 46, 27, 75, 6, 68, 33, 63, 23, 41, 43, 56, 44, 25, 32, 9, 58, 76, 51, 40, 17, 12, 67, 34, 35, 53, 14, 59, 11, 66, 65, 38, 31, 39, 72, 50, 3, 1, 64, 42, 16, 49, 24, 18, 55, 10, 26, 4, 52, 2, 74, 30, 45, 29, 5, 48, 47, 61, 22",848.721545268315,303.721545268315
"7","62, 63, 23, 41, 43, 42, 33, 6, 75, 68, 67, 17, 40, 32, 3, 39, 12, 58, 72, 11, 53, 8, 46, 76, 30, 29, 5, 2, 73, 1, 22, 28, 61, 64, 56, 49, 18, 55, 25, 26, 7, 35, 19, 14, 59, 66, 65, 10, 38, 31, 9, 44, 50, 24, 16, 51, 4, 34, 52, 27, 54, 13, 45, 37, 69, 36, 71, 60, 70, 20, 57, 15, 47, 21, 74, 48",835.321434793831,290.321434793831
"8","21, 34, 7, 40, 32, 9, 55, 18, 50, 44, 3, 16, 76, 17, 12, 45, 52, 46, 8, 27, 67, 51, 62, 1, 42, 64, 41, 43, 22, 69, 61, 36, 37, 71, 70, 60, 57, 13, 30, 74, 28, 48, 5, 20, 29, 2, 68, 6, 75, 4, 33, 63, 73, 56, 23, 49, 24, 25, 11, 66, 65, 38, 10, 31, 58, 72, 39, 26, 35, 53, 14, 19, 59, 54, 15, 47",921.417291235475,376.417291235475
"9","22, 1, 33, 26, 67, 75, 27, 8, 54, 14, 11, 59, 38, 65, 66, 53, 19, 35, 46, 34, 7, 52, 4, 68, 15, 57, 13, 5, 29, 45, 30, 48, 36, 60, 71, 20, 70, 37, 21, 28, 73, 16, 18, 50, 32, 9, 39, 55, 25, 31, 58, 10, 72, 12, 17, 43, 42, 64, 41, 56, 23, 49, 51, 40, 44, 3, 24, 63, 6, 76, 2, 47, 69, 74, 62, 61",866.635709819549,321.635709819549
"10","2, 33, 73, 1, 24, 32, 39, 40, 9, 55, 18, 50, 25, 31, 38, 65, 66, 11, 14, 53, 72, 10, 58, 12, 44, 26, 17, 75, 76, 67, 45, 48, 61, 42, 56, 23, 63, 68, 51, 3, 49, 16, 41, 43, 64, 22, 62, 28, 21, 36, 69, 74, 34, 54, 57, 27, 52, 6, 7, 46, 15, 13, 19, 59, 35, 8, 4, 30, 29, 5, 37, 20, 70, 71, 60, 47",906.863529815907,361.863529815907
"11","3, 12, 39, 9, 31, 72, 58, 7, 53, 14, 59, 11, 65, 38, 66, 10, 25, 55, 44, 50, 18, 24, 49, 23, 56, 41, 43, 42, 28, 61, 62, 63, 16, 73, 1, 64, 22, 33, 6, 30, 74, 48, 37, 71, 69, 47, 57, 27, 8, 46, 52, 45, 29, 15, 20, 60, 36, 70, 5, 21, 68, 75, 51, 2, 76, 67, 4, 34, 13, 54, 19, 35, 40, 26, 17, 32",846.081344244055,301.081344244055
"12","37, 60, 70, 69, 61, 64, 42, 43, 16, 63, 68, 74, 28, 21, 30, 8, 35, 14, 65, 66, 59, 53, 11, 58, 72, 10, 38, 31, 55, 25, 39, 9, 17, 12, 19, 27, 13, 57, 54, 52, 46, 34, 45, 5, 48, 73, 1, 23, 33, 51, 40, 3, 32, 44, 50, 18, 24, 49, 56, 41, 22, 62, 2, 6, 67, 26, 7, 76, 75, 4, 29, 15, 47, 36, 71, 20",836.051117268337,291.051117268337
"13","31, 58, 26, 72, 12, 32, 44, 3, 9, 50, 39, 38, 66, 59, 53, 46, 37, 5, 36, 20, 70, 60, 71, 69, 74, 28, 22, 64, 42, 23, 56, 41, 43, 1, 62, 2, 6, 68, 30, 29, 34, 67, 4, 76, 17, 33, 73, 63, 16, 51, 40, 25, 55, 18, 24, 49, 75, 7, 35, 27, 8, 13, 15, 57, 21, 61, 47, 48, 45, 52, 54, 19, 14, 11, 65, 10",840.991273110196,295.991273110196
"14","6, 61, 69, 5, 37, 20, 70, 60, 36, 71, 48, 30, 45, 29, 57, 13, 54, 35, 8, 52, 59, 14, 19, 53, 38, 65, 11, 66, 31, 3, 16, 33, 63, 56, 41, 64, 47, 21, 28, 74, 15, 27, 46, 7, 34, 58, 10, 72, 12, 40, 51, 2, 22, 62, 43, 42, 1, 73, 23, 49, 24, 32, 44, 50, 18, 55, 25, 9, 39, 76, 4, 75, 67, 17, 26, 68",856.699695115974,311.699695115974
"15","29, 52, 19, 10, 58, 38, 66, 11, 59, 14, 7, 35, 8, 46, 34, 67, 27, 45, 69, 71, 70, 60, 20, 15, 37, 36, 21, 74, 30, 2, 6, 33, 73, 62, 22, 61, 48, 4, 68, 12, 17, 75, 76, 51, 16, 63, 1, 64, 42, 56, 23, 41, 43, 49, 44, 9, 32, 40, 26, 3, 24, 18, 50, 25, 55, 72, 39, 31, 65, 53, 54, 13, 57, 47, 28, 5",832.621262846766,287.621262846766
"16","33, 2, 74, 30, 68, 75, 67, 7, 52, 46, 76, 26, 34, 58, 32, 44, 24, 16, 49, 41, 43, 62, 28, 22, 1, 42, 64, 56, 23, 63, 73, 6, 39, 38, 11, 53, 19, 29, 5, 70, 20, 36, 37, 60, 71, 47, 61, 69, 21, 48, 15, 57, 13, 27, 45, 4, 51, 3, 50, 55, 31, 10, 65, 66, 59, 14, 54, 8, 35, 12, 17, 40, 72, 9, 25, 18",877.953577012919,332.953577012919
"17","20, 60, 69, 71, 70, 37, 5, 30, 62, 1, 73, 41, 42, 43, 63, 24, 49, 50, 18, 55, 25, 31, 10, 38, 65, 17, 51, 32, 40, 44, 39, 9, 12, 76, 26, 46, 34, 13, 54, 19, 53, 14, 59, 66, 11, 52, 8, 35, 7, 58, 72, 67, 75, 68, 6, 2, 28, 74, 22, 33, 3, 16, 23, 56, 64, 61, 21, 47, 36, 48, 45, 29, 4, 27, 57, 15",809.907271610735,264.907271610735
