"","solution","distance","distance_from_optimum"
"1","3, 33, 63, 49, 38, 66, 65, 11, 59, 14, 19, 46, 4, 26, 34, 17, 73, 1, 60, 71, 69, 61, 28, 54, 52, 76, 67, 7, 53, 31, 32, 24, 56, 42, 23, 43, 41, 64, 22, 27, 15, 13, 8, 35, 39, 40, 25, 55, 18, 50, 44, 16, 29, 74, 2, 21, 48, 62, 6, 30, 75, 47, 70, 20, 37, 36, 5, 57, 45, 68, 9, 72, 58, 10, 51, 12",1099.49535005402,554.495350054019
"2","56, 43, 16, 62, 2, 74, 57, 15, 71, 36, 37, 20, 70, 60, 69, 5, 48, 27, 51, 33, 63, 1, 6, 76, 29, 68, 45, 34, 35, 75, 46, 73, 21, 47, 4, 67, 26, 61, 22, 24, 18, 25, 55, 39, 9, 44, 32, 10, 31, 7, 52, 54, 13, 8, 19, 30, 28, 64, 42, 41, 23, 50, 65, 53, 11, 38, 66, 59, 14, 58, 12, 72, 17, 40, 3, 49",1072.80042986819,527.800429868192
"3","23, 24, 43, 42, 16, 32, 38, 14, 11, 8, 57, 17, 12, 9, 55, 25, 31, 75, 30, 4, 45, 2, 68, 74, 1, 64, 22, 61, 48, 15, 37, 47, 21, 69, 20, 71, 5, 60, 70, 67, 34, 52, 27, 29, 54, 13, 36, 28, 62, 51, 26, 7, 19, 65, 53, 3, 49, 63, 33, 6, 76, 10, 66, 59, 35, 46, 58, 72, 39, 40, 18, 50, 44, 56, 41, 73",1148.01689536125,603.016895361255
"4","3, 65, 11, 66, 38, 58, 6, 54, 59, 10, 31, 72, 55, 50, 18, 25, 32, 12, 49, 23, 62, 61, 69, 28, 36, 5, 34, 7, 76, 68, 4, 13, 19, 35, 52, 27, 15, 60, 71, 70, 57, 37, 30, 67, 53, 14, 46, 8, 26, 21, 64, 42, 43, 22, 41, 73, 45, 2, 48, 47, 20, 29, 74, 75, 51, 33, 63, 1, 16, 24, 44, 17, 40, 9, 39, 56",1151.10535655555,606.105356555545
"5","67, 76, 17, 4, 34, 9, 12, 3, 55, 31, 11, 10, 72, 58, 65, 38, 14, 13, 2, 68, 75, 52, 8, 45, 5, 15, 30, 28, 42, 22, 1, 63, 49, 24, 50, 44, 66, 54, 53, 32, 18, 16, 33, 43, 64, 61, 6, 73, 51, 25, 39, 40, 7, 26, 35, 46, 27, 19, 59, 41, 56, 23, 62, 74, 21, 48, 47, 20, 70, 60, 57, 37, 71, 69, 36, 29",1168.19855025838,623.198550258385
"6","36, 45, 46, 7, 38, 14, 26, 68, 51, 40, 3, 58, 12, 59, 66, 65, 39, 25, 18, 44, 32, 34, 31, 9, 10, 11, 35, 52, 27, 48, 47, 69, 37, 29, 15, 57, 43, 22, 73, 62, 2, 30, 70, 54, 19, 53, 17, 67, 8, 13, 4, 76, 6, 75, 72, 55, 50, 24, 16, 49, 63, 33, 1, 23, 56, 41, 42, 28, 64, 61, 20, 74, 21, 71, 60, 5",1150.91988356146,605.919883561459
"7","15, 13, 26, 35, 54, 20, 57, 27, 7, 53, 11, 14, 8, 52, 22, 42, 69, 48, 30, 74, 76, 6, 68, 43, 73, 33, 62, 41, 64, 56, 63, 50, 55, 25, 16, 49, 1, 51, 17, 3, 4, 75, 61, 36, 70, 37, 60, 71, 47, 5, 67, 34, 45, 29, 46, 59, 66, 38, 10, 40, 32, 18, 24, 9, 31, 65, 58, 19, 12, 72, 39, 44, 23, 28, 2, 21",1166.1797031536,621.1797031536
"8","53, 45, 75, 51, 68, 34, 4, 46, 67, 74, 33, 62, 61, 42, 64, 23, 1, 41, 63, 39, 24, 18, 32, 3, 44, 50, 55, 25, 31, 65, 10, 72, 26, 9, 7, 54, 59, 66, 11, 35, 19, 8, 12, 40, 6, 16, 17, 76, 14, 13, 37, 20, 36, 71, 60, 28, 56, 49, 43, 73, 22, 69, 52, 57, 15, 70, 21, 30, 2, 48, 5, 29, 27, 47, 38, 58",1165.97368490346,620.973684903464
"9","5, 14, 11, 72, 12, 44, 17, 7, 38, 65, 26, 67, 58, 40, 76, 52, 53, 66, 46, 37, 20, 61, 28, 33, 62, 1, 45, 4, 75, 10, 9, 39, 50, 25, 31, 55, 68, 51, 6, 16, 63, 73, 29, 70, 36, 69, 71, 60, 15, 57, 27, 34, 13, 59, 19, 8, 35, 54, 48, 22, 47, 23, 49, 24, 64, 56, 43, 42, 41, 18, 3, 32, 2, 74, 30, 21",1219.66853028965,674.668530289647
"10","57, 60, 21, 15, 5, 69, 47, 36, 70, 20, 37, 27, 52, 53, 59, 8, 2, 73, 67, 17, 58, 11, 10, 66, 9, 50, 18, 24, 56, 1, 44, 6, 75, 45, 12, 76, 16, 63, 64, 49, 43, 42, 74, 62, 33, 51, 68, 26, 7, 14, 54, 35, 13, 29, 34, 46, 19, 65, 38, 32, 40, 72, 39, 31, 25, 55, 3, 23, 41, 61, 22, 28, 4, 30, 48, 71",1172.80860592351,627.808605923506
